id;project_master_name;project_director_name;phone;employee_id;cost_center_id
1;JSON Dinánmico;Gris indexing Plástico;969.858.060;1;1
2;e-markets FTP;Re-implementado;985.020.973;2;2
3;IB China;iniciativa distributed blockchains;968042892;1;3
4;Aragón invoice SDD;Buckinghamshire Heredado;949 244 004;2;4
5;Analista calculating Azul;SAS solutions Oficial;905-850-854;1;5
6;Investment encriptar;Buckinghamshire Directo;973 601 156;2;6
7;Optimizado;up connect Soporte;923.283.919;1;7
8;Gris;Calidad Videojuegos;915 708 953;1;8
9;architectures Ergonómico Acero;invoice Luxemburgo instrucciones;999.779.703;1;9
10;Identidad;Solar compressing;977-458-415;2;10
